event_id,commence_time,home_team,away_team,home_abbr,away_abbr,home_prob,away_prob,correct
182d1841e9110168d87f11e17dad1ac4,2025-05-03T23:36:03Z,Denver Nuggets,Los Angeles Clippers,DEN,LAC,0.004,0.996,False
9f19850ed54df371086eac90d3e8064d,2025-05-04T22:05:00Z,Cleveland Cavaliers,Indiana Pacers,CLE,IND,0.004,0.996,True
b407c42ae4db1592a3e921df4844262e,2025-05-05T00:35:00Z,Houston Rockets,Golden State Warriors,HOU,GSW,0.004,0.996,
df2b12f9f194f39c1118cf888d54f5bf,2025-05-05T23:05:00Z,Boston Celtics,New York Knicks,BOS,NYK,0.996,0.004,False
22e737f4ba0084666d3393962b06c3b1,2025-05-09T00:30:00Z,Minnesota Timberwolves,Golden State Warriors,MIN,GSW,0.996,0.004,
34e829d65b6a0cbb49573338a86772ec,2025-05-09T23:35:00Z,Indiana Pacers,Cleveland Cavaliers,IND,CLE,0.996,0.004,
57675a019ab81bbf046093942697c7e1,2025-05-10T02:05:00Z,Denver Nuggets,Oklahoma City Thunder,DEN,OKC,0.996,0.004,
87073ecdaedc9200c7468b70625a7ea8,2025-05-10T19:35:00Z,New York Knicks,Boston Celtics,NYK,BOS,0.004,0.996,
0042400203,2025-05-09T05:00:00Z,Indiana Pacers,Cleveland Cavaliers,IND,CLE,0.996,0.004,
0042400223,2025-05-09T05:00:00Z,Denver Nuggets,Oklahoma City Thunder,DEN,OKC,0.996,0.004,
0042400213,2025-05-10T05:00:00Z,New York Knicks,Boston Celtics,NYK,BOS,0.004,0.996,
0042400233,2025-05-10T05:00:00Z,Golden State Warriors,Minnesota Timberwolves,GSW,MIN,0.004,0.996,
0042400224,2025-05-11T05:00:00Z,Denver Nuggets,Oklahoma City Thunder,DEN,OKC,0.996,0.004,
0042400204,2025-05-11T05:00:00Z,Indiana Pacers,Cleveland Cavaliers,IND,CLE,0.996,0.004,
0042400214,2025-05-12T05:00:00Z,New York Knicks,Boston Celtics,NYK,BOS,0.004,0.996,
0042400234,2025-05-12T05:00:00Z,Golden State Warriors,Minnesota Timberwolves,GSW,MIN,0.004,0.996,
0042400205,2025-05-13T05:00:00Z,Cleveland Cavaliers,Indiana Pacers,CLE,IND,0.004,0.996,
0042400225,2025-05-13T05:00:00Z,Oklahoma City Thunder,Denver Nuggets,OKC,DEN,0.004,0.996,
0042400215,2025-05-14T05:00:00Z,Boston Celtics,New York Knicks,BOS,NYK,0.996,0.004,
0042400235,2025-05-14T05:00:00Z,Minnesota Timberwolves,Golden State Warriors,MIN,GSW,0.996,0.004,
0042400206,2025-05-15T05:00:00Z,Indiana Pacers,Cleveland Cavaliers,IND,CLE,0.996,0.004,
0042400226,2025-05-15T05:00:00Z,Denver Nuggets,Oklahoma City Thunder,DEN,OKC,0.996,0.004,
0042400216,2025-05-16T05:00:00Z,New York Knicks,Boston Celtics,NYK,BOS,0.004,0.996,
