state,-GSW,-OPP,Ejection-GSW,Ejection-OPP,Foul-GSW,Foul-OPP,Free Throw-GSW,Free Throw-OPP,Jump Ball-GSW,Jump Ball-OPP,Made Shot-GSW,Made Shot-OPP,Missed Shot-GSW,Missed Shot-OPP,Rebound-GSW,Rebound-OPP,Timeout-OPP,Turnover-GSW,Turnover-OPP,Violation-GSW,Violation-OPP
-GSW,0.0,0.0,0.0,0.0,0.005268703898840885,0.0684931506849315,0.0,0.0,0.002107481559536354,0.004214963119072708,0.26765015806111697,0.001053740779768177,0.17281348788198103,0.003161222339304531,0.22655426765015807,0.17070600632244468,0.005268703898840885,0.06533192834562697,0.001053740779768177,0.0,0.006322444678609062
-OPP,0.0,0.0,0.0,0.0,0.08942307692307692,0.009615384615384616,0.0,0.0,0.0019230769230769232,0.0019230769230769232,0.0009615384615384616,0.24807692307692308,0.0009615384615384616,0.20865384615384616,0.08269230769230769,0.30865384615384617,0.0019230769230769232,0.0,0.04423076923076923,0.0009615384615384616,0.0
Ejection-GSW,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.75,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ejection-OPP,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foul-GSW,0.0,0.0,0.0024198427102238356,0.0006049606775559589,0.03750756200846945,0.003629764065335753,0.0,0.5831820931639443,0.0,0.0006049606775559589,0.0012099213551119178,0.09134906231094979,0.0,0.12462189957652753,0.0,0.0,0.04658197217180883,0.08469449485783424,0.019358741681790685,0.0012099213551119178,0.0030248033877797943
Foul-OPP,0.0,0.0,0.0,0.001969796454366382,0.003282994090610637,0.030203545633617858,0.572554169402495,0.004596191726854892,0.0,0.0,0.09258043335521995,0.0,0.12015758371634931,0.0006565988181221273,0.0,0.0,0.04530531845042679,0.023637557452396585,0.10177281680892974,0.0,0.003282994090610637
Free Throw-GSW,0.0,0.0,0.0,0.0,0.05596107055961071,0.0072992700729927005,0.3278588807785888,0.0006082725060827251,0.0,0.0006082725060827251,0.009124087591240875,0.14659367396593673,0.006690997566909975,0.1654501216545012,0.009124087591240875,0.2110705596107056,0.01338199513381995,0.0024330900243309003,0.04257907542579075,0.0012165450121654502,0.0
Free Throw-OPP,0.0,0.0,0.0,0.0,0.011956521739130435,0.049456521739130434,0.0005434782608695652,0.3244565217391304,0.002717391304347826,0.0005434782608695652,0.15108695652173912,0.006521739130434782,0.16630434782608697,0.00923913043478261,0.09565217391304348,0.11684782608695653,0.017934782608695653,0.04076086956521739,0.003260869565217391,0.0,0.002717391304347826
Jump Ball-GSW,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.17142857142857143,0.18571428571428572,0.21428571428571427,0.2857142857142857,0.0,0.0,0.0,0.05714285714285714,0.05714285714285714,0.0,0.0
Jump Ball-OPP,0.0,0.0,0.0,0.0,0.06578947368421052,0.02631578947368421,0.0,0.0,0.0,0.0,0.15789473684210525,0.21052631578947367,0.07894736842105263,0.19736842105263158,0.0,0.0,0.0,0.15789473684210525,0.10526315789473684,0.0,0.0
Made Shot-GSW,0.0,0.0,0.0,0.0,0.09882747068676717,0.07202680067001675,0.0,0.0,0.001954215522054718,0.0016750418760469012,0.0027917364600781687,0.2864321608040201,0.002512562814070352,0.3629257398101619,0.0,0.0,0.07761027359017308,0.0005583472920156337,0.0812395309882747,0.0033500837520938024,0.00809603573422669
Made Shot-OPP,0.0,0.0,0.0,0.0,0.08688097306689835,0.09556907037358818,0.0,0.0,0.0023168259484506225,0.0011584129742253113,0.29105125977410945,0.0008688097306689834,0.3391253982044599,0.0008688097306689834,0.0,0.0,0.08832898928467998,0.08137851143932812,0.0017376194613379669,0.005792064871126557,0.004923255140457573
Missed Shot-GSW,0.0,0.10348334604627511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22756165776760742,0.6689549961861174,0.0,0.0,0.0,0.0,0.0
Missed Shot-OPP,0.09515396264512872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6166077738515902,0.2882382635032812,0.0,0.0,0.0,0.0,0.0
Rebound-GSW,0.0,0.0,0.0,0.0,0.009660574412532636,0.104177545691906,0.0,0.0,0.0020887728459530026,0.004177545691906005,0.3626631853785901,0.0010443864229765013,0.40496083550913836,0.000783289817232376,0.0,0.0,0.005744125326370757,0.097911227154047,0.003394255874673629,0.0,0.003394255874673629
Rebound-OPP,0.0,0.0,0.0,0.0,0.11459414573385925,0.03632966576707494,0.036744861947270085,0.03819804857795308,0.005397550342536849,0.006435540793024704,0.026572555532489103,0.29209051276728254,0.027610545982976957,0.3107743408760639,0.0,0.0,0.015362258667220262,0.006227942702927133,0.08179364749844302,0.0012455885405854266,0.0006227942702927133
Timeout-OPP,0.0,0.0,0.0,0.0,0.05154639175257732,0.058762886597938144,0.05360824742268041,0.07731958762886598,0.004123711340206186,0.005154639175257732,0.15257731958762888,0.12577319587628866,0.18041237113402062,0.1824742268041237,0.0,0.0,0.007216494845360825,0.050515463917525774,0.04020618556701031,0.004123711340206186,0.006185567010309278
Turnover-GSW,0.0,0.5631672597864769,0.0017793594306049821,0.0,0.04359430604982206,0.0071174377224199285,0.0,0.0,0.0008896797153024911,0.0008896797153024911,0.0,0.14412811387900357,0.0,0.16548042704626334,0.0,0.0,0.03291814946619217,0.0,0.03558718861209965,0.0017793594306049821,0.0026690391459074734
Turnover-OPP,0.5120859444941809,0.0,0.0,0.0,0.01611459265890779,0.046553267681289166,0.0,0.0,0.004476275738585497,0.0035810205908683975,0.1450313339301701,0.01432408236347359,0.170993733213966,0.012533572068039392,0.0,0.0,0.025067144136078783,0.04028648164726947,0.006266786034019696,0.0,0.0026857654431512983
Violation-GSW,0.0,0.0,0.0,0.0,0.061224489795918366,0.061224489795918366,0.0,0.04081632653061224,0.0,0.0,0.08163265306122448,0.22448979591836735,0.04081632653061224,0.2857142857142857,0.0,0.0,0.08163265306122448,0.061224489795918366,0.061224489795918366,0.0,0.0
Violation-OPP,0.0,0.0,0.0,0.0,0.031578947368421054,0.08421052631578947,0.021052631578947368,0.042105263157894736,0.0,0.0,0.22105263157894736,0.10526315789473684,0.15789473684210525,0.17894736842105263,0.0,0.0,0.07368421052631578,0.06315789473684211,0.021052631578947368,0.0,0.0
